customer_name,total_sales,customer_rank
"Sean Miller",25043.05,1
"Tamara Chand",19017.847999999998,2
"Raymond Buch",15117.339,3
"Tom Ashbrook",14595.62,4
"Adrian Barton",14355.610999999997,5
"Sanjit Chand",14142.333999999999,6
"Ken Lonsdale",14071.917,7
"Hunter Lopez",12873.297999999999,8
"Sanjit Engle",12209.438000000002,9
"Christopher Conant",12129.072,10
"Todd Sumrall",11885.871,11
"Greg Tran",11820.119999999997,12
"Becky Martin",11609.900000000001,13
"Seth Vernon",11420.645999999997,14
"Caroline Jumper",11079.742,15
"Clay Ludtke",10880.545999999998,16
"Maria Etezadi",10635.917999999998,17
"Karen Ferguson",10604.266,18
"Bill Shonely",10501.652999999998,19
"Edward Hooks",10005.980000000001,20
"John Lee",9403.003,21
"Grant Thornton",9351.211999999998,22
"Helen Wasserman",9300.253999999997,23
"Tom Boeckenhauer",9012.741999999998,24
"Peter Fuller",8980.496,25
"Christopher Martinez",8954.02,26
"Justin Deggeller",8828.030499999999,27
"Joe Elijah",8672.163,28
"Laura Armstrong",8631.521999999999,29
"Daniel Raglin",8350.868,30
"Natalie Fritzler",8322.826000000001,31
"Karen Daniels",8282.358,32
"Nick Crebassa",8241.739,33
"Keith Dawkins",8181.256,34
"Pete Kriz",8158.654,35
"Harry Marie",8148.844800000002,36
"Sean Braxton",8057.890999999999,37
"Zuschuss Carroll",8021.135000000001,38
"Joseph Holt",7954.998,39
"Nora Preis",7903.182500000001,40
"Anna Häberlin",7888.294000000001,41
"Jim Epp",7754.976,42
"Adam Bellavance",7732.669999999999,43
"Jane Waco",7721.714,44
"John Murray",7625.076000000002,45
"Rick Wilson",7397.401000000001,46
"Lena Creighton",7396.7739999999985,47
"Patrick O'Brill",7367.3342,48
"Brian Moss",7283.817,49
"Natalie Webber",7234.013999999999,50
"Dean percer",7198.760999999999,51
"Paul Prost",7075.920000000002,52
"Rick Huthwaite",6962.14,53
"Maribeth Schnelling",6848.31,54
"Penelope Sewall",6843.633999999999,55
"Brenda Bowman",6765.727999999999,56
"Fred Hopkins",6683.659999999999,57
"Yana Sorensen",6654.503999999999,58
"Andy Reiter",6608.448,59
"Grace Kelly",6497.27,60
"Joseph Airdo",6475.474000000001,61
"Nathan Mautz",6459.343999999999,62
"Jonathan Doherty",6456.456,63
"Sarah Brown",6410.995999999999,64
"Joel Eaton",6400.454999999999,65
"James Galang",6366.391999999999,66
"Corinna Mitchell",6339.5576,67
"Valerie Dominguez",6283.354,68
"Max Jones",6282.226,69
"Brosina Hoffman",6255.351000000001,70
"Darrin Martin",6247.372,71
"Dan Reichenbach",6247.205999999999,72
"Rob Lucas",6234.909999999999,73
"Victoria Wilson",6112.702,74
"Quincy Jones",6108.338,75
"Alan Dominguez",6100.999999999999,76
"Greg Maxwell",6049.966000000002,77
"Cassandra Brandow",6028.226999999999,78
"William Brown",6024.81,79
"Robert Marley",5967.736,80
"Keith Herrera",5952.859000000002,81
"Shirley Daniels",5920.258,82
"Ben Ferrer",5907.972,83
"Shahid Collister",5894.183999999999,84
"Christine Phan",5888.275000000001,85
"Kristen Hastings",5867.859,86
"Cindy Stewart",5690.054999999999,87
"Bill Donatelli",5672.171,88
"Anne McFarland",5653.861999999999,89
"Ross Baird",5633.315999999999,90
"Katherine Murray",5609.746,91
"Alex Avila",5563.56,92
"Suzanne McNair",5563.392,93
"Naresj Patel",5529.62,94
"Amy Cox",5527.8460000000005,95
"Mick Hernandez",5503.092999999999,96
"Dennis Pardue",5480.723999999999,97
"Emily Phan",5478.0608,98
"Yoseph Carroll",5454.35,99
"Stefania Perrino",5440.319,100
"Luke Weiss",5420.513999999999,101
"Thomas Seio",5371.09,102
"Tonja Turnell",5364.808000000001,103
"Mitch Webber",5341.9,104
"Tom Prescott",5329.0048,105
"Dianna Wilson",5256.848,106
"Mitch Willingham",5253.876,107
"Harold Ryan",5248.786999999999,108
"Steven Cartwright",5226.209999999998,109
"Tamara Willingham",5164.626,110
"Cathy Prescott",5164.101999999999,111
"Lena Radford",5142.891999999999,112
"Resi Pölking",5142.139999999999,113
"Mike Pelletier",5087.92,114
"Ivan Liston",5040.736,115
"Laurel Beltran",4985.676,116
"Dave Hallsten",4932.871999999999,117
"Irene Maddox",4930.473999999999,118
"Ted Trevino",4915.602,119
"Kunst Miller",4909.472000000001,120
"Philisse Overcash",4893.043000000001,121
"Heather Kirkland",4877.784,122
"Anthony Jacobs",4867.344,123
"Alan Hwang",4805.344,124
"Russell Applegate",4781.367000000001,125
"Joe Kamberova",4769.900000000001,126
"Jim Kriz",4752.442000000001,127
"Bart Watters",4750.357999999999,128
"Tracy Blumstein",4730.628,129
"Sue Ann Reed",4708.525500000001,130
"Erin Smith",4648.516,131
"Kean Thornton",4642.088400000001,132
"Sample Company A",4624.572000000001,133
"Deborah Brumfield",4621.656999999999,134
"Giulietta Baptist",4594.328,135
"Rick Bensley",4556.566000000002,136
"Anthony Rawles",4523.335999999999,137
"Arthur Gainer",4510.7970000000005,138
"Stewart Carmichael",4492.656999999999,139
"Kelly Lampkin",4483.784,140
"Linda Cazamias",4481.162,141
"Anna Andreadi",4455.895,142
"Theone Pippenger",4454.056,143
"Eugene Moren",4438.331999999999,144
"Mark Cousins",4432.138,145
"Katrina Willman",4416.52,146
"Bradley Drucker",4408.2970000000005,147
"Anthony Johnson",4391.491,148
