customer_name,highest_order_value
"Sean Miller",22638.48
"Tamara Chand",17499.95
"Raymond Buch",13999.96
"Tom Ashbrook",11199.968
"Hunter Lopez",10499.97
"Adrian Barton",9892.74
"Sanjit Chand",9449.95
"Bill Shonely",9099.93
"Sanjit Engle",8749.95
"Christopher Conant",8399.976
"Ken Lonsdale",8187.65
"Becky Martin",8159.952
"Grant Thornton",7999.98
"Tom Boeckenhauer",6999.96
"Christopher Martinez",6354.95
"Andy Reiter",5443.96
"Daniel Raglin",5399.91
"Todd Sumrall",5199.96
"Jane Waco",5083.96
"Edward Hooks",4912.59
"Karen Daniels",4899.93
"Harry Marie",4899.93
"Nick Crebassa",4799.984
"Joseph Airdo",4663.736
"Keith Dawkins",4643.8
"John Murray",4548.81
"Dennis Pardue",4535.976
"Cindy Stewart",4499.985
"Max Jones",4476.8
"Tom Prescott",4416.174
"Quincy Jones",4404.9
"Patrick O'Brill",4367.896
"Adam Bellavance",4355.168
"Pete Kriz",4305.552
"Joseph Holt",4297.644
"Peter Fuller",4228.704
"Cathy Prescott",4164.05
"Greg Maxwell",4164.05
"Karen Ferguson",4158.912
"Greg Tran",4007.84
"Caroline Jumper",3999.95
"Nathan Mautz",3991.98
"Alex Avila",3930.072
"Shirley Daniels",3812.97
"Luke Weiss",3785.292
"Nora Preis",3610.848
"Laura Armstrong",3504.9
"Kristen Hastings",3499.93
"Maribeth Schnelling",3406.664
"Steven Roelle",3404.5
"Ellis Ballard",3393.68
"Penelope Sewall",3359.952
"Rick Huthwaite",3357.6
"Kelly Collister",3347.37
"Gary Hwang",3266.376
"Fred Hopkins",3149.93
"Tracy Blumstein",3083.43
"Katrina Willman",3080
"Sean Braxton",3059.982
"Bart Watters",3059.982
"Lena Creighton",3050.376
"Mark Cousins",3040
"Maria Etezadi",3023.928
"Alan Dominguez",2999.95
"Jim Epp",2999.95
"Sarah Brown",2973.32
"Bradley Drucker",2939.93
"Yoseph Carroll",2934.33
"Seth Vernon",2888.127
"Scot Coram",2887.056
"Robert Marley",2879.952
"Resi Pölking",2807.84
"Sean Christensen",2803.92
"Darrin Martin",2799.96
"Ionia McGrath",2799.96
"Natalie Webber",2799.944
"Yana Sorensen",2793.528
"Sue Ann Reed",2735.952
"Mitch Willingham",2715.93
"Denise Monton",2690.97
"Alejandro Savely",2678.94
"Lindsay Castell",2676.672
"Sarah Foster",2665.62
"Annie Thurman",2625.12
"John Lee",2624.985
"Emily Ducich",2621.322
"Grace Kelly",2575.944
"Bill Donatelli",2567.84
"Joe Elijah",2563.056
"Sharelle Roach",2549.985
"Clay Ludtke",2548.56
"Pierre Wener",2541.98
"Rick Wilson",2518.29
"Justin Deggeller",2504.74
"Juliana Krohn",2479.96
"Joel Eaton",2453.43
"Meg Tillman",2430.08
"Helen Wasserman",2405.2
"Ted Trevino",2404.704
"Heather Kirkland",2399.96
"Harold Ryan",2399.96
"Linda Cazamias",2396.4
"Anna Gayman",2396.2656
"Jim Kriz",2395.2
"Erica Smith",2357.488
"Paul Prost",2348.82
"Dean percer",2321.9
"Rick Hansen",2309.65
"Corinna Mitchell",2279.96
"Anna Häberlin",2275.5
"Peter McVee",2249.91
"Thomas Boland",2249.91
"Thomas Seio",2239.936
"Luke Foster",2177.584
"Nora Paige",2154.9
"Jonathan Doherty",2104.55
"Deborah Brumfield",2079.4
"Ross Baird",2065.32
"Mary Zewe",2033.584
"Natalie Fritzler",2025.36
"Tamara Willingham",2003.92
"Charles McCrossin",2003.52
"Liz Preis",2003.168
"Dianna Wilson",2001.86
"Hunter Glantz",1999.96
"Carol Adams",1999.96
"Russell Applegate",1983.968
"Deirdre Greer",1979.89
"Justin Ellison",1951.84
"Stefania Perrino",1931.958
"Natalie DeCherney",1931.04
"Bill Eplett",1928.78
"Frank Carlisle",1927.59
"Robert Waldorf",1924.16
"Charles Crestani",1919.976
"Henry Goldwyn",1889.99
"Tonja Turnell",1879.96
"Victoria Pisteka",1875.258
"Jamie Kunitz",1871.88
"Sample Company A",1856.19
"Irene Maddox",1819.86
"Dionis Lloyd",1801.632
"Suzanne McNair",1801.632
"John Dryer",1801.632
"Jack Garza",1799.97
"Kean Thornton",1799.97
"Amy Cox",1793.98
"Shahid Collister",1781.682
"Brenda Bowman",1779.9
"Anthony Jacobs",1737.18
"Brosina Hoffman",1706.184
"Doug Jacobs",1704.56
"Giulietta Baptist",1690.04
"Katherine Murray",1687.8
"Lindsay Williams",1685.88
"Sung Pak",1684.752
"Arianne Irving",1679.96
"Rick Duston",1676.88
"Clay Rozendal",1673.184
"Michael Chen",1669.6
"Michael Paige",1652.94
"Michael Moore",1652.94
"George Zrebassa",1649.95
"Neoma Murray",1649.95
"Bobby Elias",1649.75
"Fred Chung",1640.7
"Tracy Hopkins",1633.188
"Brian Moss",1633.14
"Toby Carlisle",1628.82
"Anthony Rawles",1626.192
"Speros Goranitis",1619.91
"John Stevenson",1618.37
"Dan Campbell",1614.582
"Anne McFarland",1604.9
"Don Jones",1603.136
"Michelle Arnett",1603.136
"Jill Fjeld",1599.92
"Rose O'Brian",1598.058
"Bill Overfelt",1592.85
"Theone Pippenger",1586.69
"Christine Phan",1579.746
"Alan Hwang",1577.94
"Robert Dilbeck",1577.94
"Paul Van Hugh",1575.14
"Pamela Coakley",1573.488
"Jack O'Briant",1565.88
"Claudia Bergmann",1564.29
"Thea Hudgings",1554.936
"Scott Cohen",1552.831
"David Bremer",1548.99
"Susan Pistek",1537.074
"Nathan Cano",1525.188
"Edward Becker",1522.638
"Zuschuss Carroll",1516.2
"Michelle Huthwaite",1504.52
"Thea Hendricks",1502.376
"Frank Merwin",1499.97
"Eugene Moren",1499.95
"Maureen Gastineau",1497.666
"Allen Rosenblatt",1488.424
"Beth Thompson",1487.04
"Jeremy Lonsdale",1473.1
"Jennifer Ferguson",1471.96
"Denny Joy",1454.9
"Ivan Liston",1454.49
"George Ashbrook",1447.65
"Frank Olsen",1441.3
"Aaron Smayling",1439.982
"Christy Brittain",1439.976
"David Flashing",1439.968
"Sara Luxemburg",1439.92
"Greg Matthias",1432
"Mark Hamilton",1424.9
"Sanjit Jacobs",1415.76
"Deanra Eno",1408.1
"Tamara Manning",1406.86
"Sylvia Foulston",1403.92
"Stefanie Holloman",1403.92
"Chris McAfee",1399.944
"Valerie Dominguez",1399.93
"Pauline Johnson",1399.93
"Lisa DeCherney",1395.54
"Alan Schoenberger",1394.95
"Olvera Toch",1369.764
"Barry Gonzalez",1369.764
"Tom Stivers",1367.84
"Joe Kamberova",1363.96
"Rob Lucas",1362.9
"Kelly Lampkin",1359.96
"Amy Hunt",1352.3976
"Mitch Webber",1349.91
"Edward Nazzal",1349.85
"Eleni McCrary",1348.704
"Neil Ducich",1347.52
"Keith Herrera",1336.829
"Alejandro Grove",1336.44
"Brian Dahlen",1325.85
"Rick Reed",1325.85
"Gary McGarr",1325.76
"Craig Leslie",1325.76
"Anna Andreadi",1323.9
"Dave Brooks",1322.93
"Karen Carlisle",1319.96
"Erin Smith",1319.8
"Frank Preis",1317.492
"Daniel Lacy",1299.99
"Brian Stugart",1297.368
"Sandra Glassco",1295.84
"Dean Katz",1295.78
"Valerie Mitchum",1294.75
"Ed Braxton",1293.488
"Karen Bern",1287.45
"Pauline Webber",1287.45
"Toby Braunhardt",1287.45
"Ann Chong",1282.41
"Tanja Norvell",1272.63
"Ben Ferrer",1270.99
"Julia Barnett",1267.65
"Philip Fox",1266.86
"James Galang",1265.85
"Randy Ferguson",1263.3
"Roland Schwarz",1261.33
"Carlos Daly",1259.97
"Ken Heidel",1259.93
"Shahid Shariari",1252.704
"Victoria Wilson",1247.64
"Nicole Hansen",1245.86
"Harold Pawlan",1242.9
"Cynthia Arntzen",1228.465
"Craig Molinari",1227.9984
"Matt Collister",1218.735
"Naresj Patel",1217.568
"Shaun Weien",1217.568
"Ruben Ausman",1215.92
"Troy Staebel",1212.96
"Katherine Hughes",1207.84
"Corey Catlett",1202.94
"Lena Radford",1199.976
"Eugene Barchas",1199.976
"Ralph Arnett",1199.96
"Eileen Kiefer",1198.33
"Lauren Leatherbury",1196.86
"Anthony Johnson",1194.165
"Christina VanderZanden",1184.72
"Mick Hernandez",1169.694
"Shaun Chance",1158.12
"Matt Hagelstein",1145.6
"Paul Knutson",1141.47
"Christine Kargatis",1139.92
"Kristina Nunn",1137.75
"Ricardo Sperren",1133.35
"Cathy Hwang",1127.976
"Trudy Glocke",1125.488
"John Lucas",1119.984
"Ben Peterman",1119.888
"Mike Pelletier",1117.92
"Arthur Wiediger",1117.92
"Mike Gockenbach",1115.91
"Steven Cartwright",1114.4
"Rob Williams",1114.272
"Brendan Sweed",1113.024
"Laurel Beltran",1112.94
"Bill Tyler",1106.91
"Phillip Flathmann",1101.48
"Giulietta Dortch",1099.5
"Gene Hale",1097.544
"Matthew Grinstein",1091.168
"Jeremy Pistek",1089.75
"Dave Hallsten",1087.936
"Maribeth Dona",1080.096
"Roger Barcio",1079.85
"Trudy Brown",1079.316
"Kean Nguyen",1075.088
"Logan Currie",1071
"Paul MacIntyre",1056.86
"Muhammed Yedwab",1049.97
"Rob Dowd",1049.93
"Ed Jacobs",1049.44
"Rick Bensley",1049.2
"Lindsay Shagiari",1049.2
"Filia McAdams",1048.35
"Emily Burns",1044.63
"Sheri Gordon",1044.63
"Michael Kennedy",1043.92
"Jennifer Patt",1040.8
"Chloris Kastensmidt",1039.992
"Jas O'Carroll",1038.84
"Barry Französisch",1035.8
"Janet Molinari",1029.95
"Georgia Rosenberg",1025.88
"Adam Shillingsburg",1024.38
"Arthur Gainer",1023.936
"Benjamin Patterson",1022.97
"Toby Gnade",1016.792
"Ken Black",1013.832
"Tamara Dahlen",1013.488
"Philisse Overcash",1007.979
"Pauline Chand",1004.976
"Gary Hansen",1001.584
"Nora Pelletier",999.98
"Cassandra Brandow",999.432
"Brian Thompson",998.85
"Craig Carroll",991.2
"Becky Pak",989.97
"Kunst Miller",979.95
"Michael Nguyen",979.95
"Marc Crier",975.92
"Gary Zandusky",971.5
"Dave Poirier",968.744
"Kean Takahito",966.7
"Dennis Kane",965.85
"Cari Sayre",963.136
"Julia West",962.08
"Alan Haines",961.48
"Dave Kipp",959.984
"Doug Bickford",959.984
"Stephanie Ulpright",959.984
"Erica Bern",959.968
"Sean O'Donnell",957.5775
"Emily Phan",956.6648
"Stuart Van",946.344
"Shahid Hopkins",945.036
"Dorothy Badders",942.784
"Jack Lebron",934.956
"Frank Hawley",931.176
"Craig Carreira",917.9235
"Nicole Fjeld",915.136
"Daniel Byrd",915.136
"Trudy Schmidt",913.43
"Christina Anderson",912.75
"Michael Dominguez",909.12
"Janet Martin",908.82
"Bill Stewart",906.68
"Craig Reiter",904.9
"Mike Caudle",902.712
"Eva Jacobs",901.95
"Julie Kriz",900.08
"Dianna Vittorini",899.95
"Dan Reichenbach",899.91
"Mark Packer",899.136
"Ann Blume",899.136
"Alyssa Tate",896.328
"Craig Yedwab",895.944
"William Brown",895.92
"Bradley Talbott",892.224
"Dean Braden",887.271
"Neola Schneider",887.271
"David Philippe",883.92
"Liz Thompson",881.93
"Scott Williamson",881.93
"Elpida Rittenbach",876.3
"Damala Kotsonis",872.94
"Carol Triggs",872.32
"Cynthia Delaney",868.59
"Darren Budd",866.646
"Liz Carlisle",866.4
"Mike Vittorini",863.928
"Jocasta Rupert",863.88
"Ruben Dartt",862.344
"Katherine Ducich",861.76
"Dana Kaydos",860.93
"Frank Atkinson",859.2
"Sarah Bern",858.24
"Cynthia Voltz",856.656
"Linda Southworth",854.352
"Brad Eason",848.544
"Justin Hirsh",845.728
"Brooke Gillingham",845.488
"Stewart Visinsky",844.116
"Jim Karlsson",843.9
"Arthur Prichep",842.94
"Duane Noonan",842.72
"James Lanier",842.376
"Jay Fein",842.352
"Adam Hart",841.568
"Nick Zandusky",838.38
"Maxwell Schwartz",837.6
"Maureen Gnade",835.17
"Katharine Harms",833.94
"Maris LaWare",832.93
"Ralph Kennedy",831.2
"Patrick Jones",826.11
"Justin MacKendrick",826
"Gary Mitchum",824.95
"Zuschuss Donatelli",823.96
"Steve Carroll",821.94
"Evan Bailliet",807.75
"Ben Wallace",806.336
"Maribeth Yedwab",801.568
"Michelle Ellison",801.568
"Matt Abelman",799.984
"Fred Harton",799.96
"Jessica Myrick",799.56
"Michael Grace",796.425
"Dario Medina",795.408
"Lisa Ryan",791.964
"Jenna Caffey",786.48
"Jill Stevenson",783.96
"Carl Ludwig",782.94
"Bruce Stewart",779.796
"Marc Harrigan",776.85
"Don Miller",772.68
"Jeremy Ellison",772.47
"Thomas Brumley",767.214
"Michelle Moray",765.625
"Mick Crebagga",763.28
"Skye Norling",762.594
"Victoria Brennan",756.8
"Liz Willingham",756.8
"Troy Blackwell",754.45
"Janet Lee",751.984
"Shirley Jackson",751.92
"Eugene Hildebrand",748.752
"Christopher Schild",743.988
"Richard Bierner",735.98
"Claire Gute",731.94
"Maya Herman",730.2
"Noah Childs",727.45
"Meg O'Connel",723.92
"Henia Zydlo",723.92
"Mary O'Rourke",722.352
